articles.A-B,Adv_Prev_Med,Adv_Prev_Med_2011_Jun_8_2011_281863.nxml,Vitamin D  Sunlight and Prostate Cancer Risk,advances in preventive medicine,RSG-09-175-01-CCE,14,Vitamin D  Sunlight and Prostate Cancer Risk
articles.A-B,Adv_Urol,Adv_Urol_2012_Aug_10_2012_142135.nxml,Muscle Invasive Bladder Cancer: From Diagnosis to Survivorship,advances in urology,MRSG-11-103-01-CPPB,3,Muscle invasive bladder cancer: From diagnosis to survivorship
articles.A-B,Br_J_Cancer,Br_J_Cancer_2011_May_10_104(10)_1575-1586.nxml,Targeting GLI1 expression in human inflammatory breast cancer cells enhances apoptosis and attenuates migration Targeting GLI1 in inflammatory breast cancer,british journal of cancer,RSG-08-290-01-CCE,19,Targeting GLI1 expression in human inflammatory breast cancer cells enhances apoptosis and attenuates migration Targeting GLI1 in inflammatory breast cancer
articles.A-B,Br_J_Cancer,Br_J_Cancer_2010_Oct_12_103(8)_1297-1304.nxml,1 H nuclear magnetic resonance spectroscopy characterisation of metabolic phenotypes in the medulloblastoma of the SMO transgenic mice Magnetic resonance spectroscopy of a mouse medulloblastoma,british journal of cancer,IRG-82-003-22,13,1 H nuclear magnetic resonance spectroscopy characterisation of metabolic phenotypes in the medulloblastoma of the SMO transgenic mice Magnetic resonance spectroscopy of a mouse medulloblastoma
articles.A-B,Br_J_Cancer,Br_J_Cancer_2007_May_21_96(10)_1579-1586.nxml,WTH3 is a direct target of the p53 protein,british journal of cancer,RSG-03-137-01-CDD,9,WTH3 is a direct target of the p53 protein
articles.A-B,Br_J_Cancer,Br_J_Cancer_2008_Nov_4_99(9)_1415-1425.nxml,Targeting ErbB2 and ErbB3 with a bispecific single-chain Fv enhances targeting selectivity and induces a therapeutic effect in vitro,british journal of cancer,MRSG-08-018-01-CDD,61,Targeting ErbB2 and ErbB3 with a bispecific single-chain Fv enhances targeting selectivity and induces a therapeutic effect in vitro
articles.A-B,Br_J_Cancer,Br_J_Cancer_2005_Apr_25_92(8)_1581-1587.nxml,Gastrin stabilises  -catenin protein in mouse colorectal cancer cells,british journal of cancer,IRG 97-152-11,11,Gastrin stabilises  -catenin protein in mouse colorectal cancer cells
articles.A-B,Br_J_Cancer,Br_J_Cancer_2006_Feb_27_94(4)_455-459.nxml,Mutation of the PIK3CA oncogene in human cancers,british journal of cancer,IRG-58-005-41,223,Mutation of the PIK3CA oncogene in human cancers
articles.A-B,Br_J_Cancer,Br_J_Cancer_2008_Jul_22_99(2)_245-252.nxml,Mutations in the LKB1 tumour suppressor are frequently detected in tumours from Caucasian but not Asian lung cancer patients,british journal of cancer,RSG-06-102-01-CCE,94,Mutations in the LKB1 tumour suppressor are frequently detected in tumours from Caucasian but not Asian lung cancer patients
articles.A-B,Br_J_Cancer,Br_J_Cancer_2006_Aug_21_95(4)_425-430.nxml,Differential proteomic alterations between localised and metastatic prostate cancer,british journal of cancer,RSG-02-179-MGO to AMC,25,Differential proteomic alterations between localised and metastatic prostate cancer
articles.A-B,Br_J_Cancer,Br_J_Cancer_2004_Nov_29_91(11)_1893-1901.nxml,Quantifying trade-offs: quality of life and quality-adjusted survival in a randomised trial of chemotherapy in postmenopausal patients with lymph node-negative breast cancer,british journal of cancer,RPG-90-013-08-PBP,24,Quantifying trade-offs: quality of life and quality-adjusted survival in a randomised trial of chemotherapy in postmenopausal patients with lymph node-negative breast  …
articles.A-B,Br_J_Cancer,Br_J_Cancer_2006_May_8_94(9)_1311-1319.nxml,The  2  1 integrin mediates the malignant phenotype on type I collagen in pancreatic cancer cell lines,british journal of cancer,RSG-05-037-01-CCE,52,The α2β1 integrin mediates the malignant phenotype on type I collagen in pancreatic cancer cell lines
articles.A-B,Br_J_Cancer,Br_J_Cancer_2006_Jan_30_94(2)_184-188.nxml,Nuclear EGFR signalling network in cancers: linking EGFR pathway to cell cycle progression  nitric oxide pathway and patient survival,british journal of cancer,PF-05-175-01-TBE,190,Nuclear EGFR signalling network in cancers: linking EGFR pathway to cell cycle progression nitric oxide pathway and patient survival
articles.A-B,Br_J_Cancer,Br_J_Cancer_2013_Mar_5_108(4)_755-761.nxml,Matricellular proteins: priming the tumour microenvironment for cancer development and metastasis Matricellular proteins,british journal of cancer,RP-10-033-01-CCE,22,Matricellular proteins: priming the tumour microenvironment for cancer development and metastasis Matricellular proteins
articles.A-B,Br_J_Cancer,Br_J_Cancer_2004_Feb_23_90(4)_853-859.nxml,Tumour necrosis factor and PI3-kinase control oestrogen receptor alpha protein level and its transrepression function,british journal of cancer,RPG-00-122-01-TBE,21,Tumour necrosis factor and PI3-kinase control oestrogen receptor alpha protein level and its transrepression function
articles.A-B,Br_J_Cancer,Br_J_Cancer_2007_Dec_17_97(12)_1606-1612.nxml,Predictors of survival after hepatic resection among patients with colorectal liver metastasis,british journal of cancer,RSGT-01-024-04-CPHPS,68,Predictors of survival after hepatic resection among patients with colorectal liver metastasis
articles.A-B,Br_J_Cancer,Br_J_Cancer_2009_Apr_7_100(7)_1154-1164.nxml,Combination of adenoviral virotherapy and temozolomide chemotherapy eradicates malignant glioma through autophagic and apoptotic cell death in vivo,british journal of cancer,RSG-07-276-01-MGO,35,Combination of adenoviral virotherapy and temozolomide chemotherapy eradicates malignant glioma through autophagic and apoptotic cell death in vivo
articles.A-B,Br_J_Cancer,Br_J_Cancer_2004_Jul_5_91(1)_99-105.nxml,Circulating enterolactone and risk of breast cancer: a prospective study in New York,british journal of cancer,RPG-98-333-01-CCE,57,Circulating enterolactone and risk of breast cancer: a prospective study in New York
articles.A-B,Br_J_Cancer,Br_J_Cancer_2008_Apr_8_98(7)_1197-1203.nxml,Variability in chemotherapy delivery for elderly women with advanced stage ovarian cancer and its impact on survival,british journal of cancer,RSGT-01-024-04-CPHPS,21,Variability in chemotherapy delivery for elderly women with advanced stage ovarian cancer and its impact on survival
articles.A-B,Br_J_Cancer,Br_J_Cancer_2012_Jan_17_106(2)_333-343.nxml,Indole-3-carbinol synergistically sensitises ovarian cancer cells to bortezomib treatment I3C sensitises ovarian cancer cells to bortezomib,british journal of cancer,RSG-10-252-01-TBG,7,Indole-3-carbinol synergistically sensitises ovarian cancer cells to bortezomib treatment I3C sensitises ovarian cancer cells to bortezomib
articles.A-B,Appl_Clin_Genet,Appl_Clin_Genet_2014_May_12_7_81-91.nxml,Influence of oncogenic transcription factors on chromatin conformation and implications in prostate cancer,the application of clinical genetics,RSG-12-085-01,0,Influence of oncogenic transcription factors on chromatin conformation and implications in prostate cancer
articles.A-B,BMC_Immunol,BMC_Immunol_2002_Oct_18_3_14.nxml,Increased production of pro-inflammatory cytokines and enhanced T cell responses after activation of human dendritic cells with IL-1 and CD40 ligand,bmc immunology,RPG-98-183-01,65,Increased production of pro-inflammatory cytokines and enhanced T cell responses after activation of human dendritic cells with IL-1 and CD40 ligand
articles.A-B,BMC_Immunol,BMC_Immunol_2005_Feb_4_6_3.nxml,Human CD57 + germinal center-T cells are the major helpers for GC-B cells and induce class switch recombination,bmc immunology,IRG-58-006-44,58,Human CD57+ germinal center-T cells are the major helpers for GC-B cells and induce class switch recombination
articles.A-B,BMC_Immunol,BMC_Immunol_2001_Sep_11_2_9.nxml,Improvements to parallel plate flow chambers to reduce reagent and cellular requirements,bmc immunology,RPG-00-096-01,53,Improvements to parallel plate flow chambers to reduce reagent and cellular requirements
articles.A-B,Autophagy,Autophagy_2013_May_1_9(5)_789-790.nxml,Angiogenic growth factor axis in autophagy regulation,autophagy,RSG-070944-01-CSM,4,Angiogenic growth factor axis in autophagy regulation
articles.A-B,BMC_Genet,BMC_Genet_2005_Dec_30_6(Suppl_1)_S33.nxml,Application of the propensity score in a covariate-based linkage analysis of the Collaborative Study on the Genetics of Alcoholism,bmc genetics,IRG-58-005-40,5,Application of the propensity score in a covariate-based linkage analysis of the Collaborative Study on the Genetics of Alcoholism
articles.A-B,BMC_Genet,BMC_Genet_2008_Aug_29_9_58.nxml,In search of causal variants: refining disease association signals using cross-population contrasts,bmc genetics,IRG-58-010-50,26,In search of causal variants: refining disease association signals using cross-population contrasts
articles.A-B,Aging_(Albany_NY),Aging_(Albany_NY)_2009_Sep_10_1(9)_803-817.nxml,The mRNA decay factor tristetraprolin (TTP) induces senescence in human             papillomavirus-transformed cervical cancer cells by targeting E6-AP ubiquitin             ligase TTP-mediated induction of senescence,aging (albany ny),RSG-06-122-01-CNE,28,The mRNA decay factor tristetraprolin (TTP) induces senescence in human             papillomavirus-transformed cervical cancer cells by targeting E6-AP ubiquitin             ligase TTP-mediated induction of senescence
articles.A-B,Aging_(Albany_NY),Aging_(Albany_NY)_2012_Dec_13_4(12)_917-922.nxml,Ribonucleotide reductase and thymidylate synthase or exogenous deoxyribonucleosides reduce DNA damage and senescence caused by C-MYC depletion,aging (albany ny),RSG-10-121-01,9,Ribonucleotide reductase and thymidylate synthase or exogenous deoxyribonucleosides reduce DNA damage and senescence caused by C-MYC depletion.
articles.A-B,Aging_(Albany_NY),Aging_(Albany_NY)_2014_Feb_16_6(2)_118-130.nxml,Age-dependent changes in mitochondrial morphology and volume are not predictors of lifespan,aging (albany ny),RSG-06-110-01,0,Age-dependent changes in mitochondrial morphology and volume are not predictors of lifespan
articles.A-B,Aging_(Albany_NY),Aging_(Albany_NY)_2009_Oct_21_1(10)_866-869.nxml,TAp63: The fountain of youth TAp63 prevents premature aging,aging (albany ny),RSG-07-082-01-MGO,7,TAp63: The fountain of youth
articles.A-B,BMC_Bioinformatics,BMC_Bioinformatics_2004_Dec_7_5_190.nxml,A two-way interface between limited Systems Biology Markup Language and R,bmc bioinformatics,IRG-91-022-09,9,A two-way interface between limited Systems Biology Markup Language and R
articles.A-B,BMC_Bioinformatics,BMC_Bioinformatics_2003_Nov_7_4_56.nxml,PathMAPA: a tool for displaying gene expression and performing statistical tests on metabolic pathways at multiple levels for Arabidopsis,bmc bioinformatics,IRG 58-012-45,54,PathMAPA: a tool for displaying gene expression and performing statistical tests on metabolic pathways at multiple levels for Arabidopsis
articles.A-B,BMC_Bioinformatics,BMC_Bioinformatics_2007_Sep_24_8_359.nxml,Differential analysis for high density tiling microarray data,bmc bioinformatics,PF-05-048-01-GMC,10,Differential analysis for high density tiling microarray data
articles.A-B,BMC_Bioinformatics,BMC_Bioinformatics_2005_Jul_22_6_187.nxml,Rank-invariant resampling based estimation of false discovery rate for analysis of small sample microarray data,bmc bioinformatics,RSG-02-182-01-MGO,16,Rank-invariant resampling based estimation of false discovery rate for analysis of small sample microarray data
articles.A-B,BMC_Bioinformatics,BMC_Bioinformatics_2007_Jul_27_8_272.nxml,A cis-regulatory logic simulator,bmc bioinformatics,RSG-06-039-01-GMC,0,A cis-regulatory logic simulator
articles.A-B,BMC_Bioinformatics,BMC_Bioinformatics_2009_Feb_20_10_65.nxml,CpG islands or CpG clusters: how to identify functional GC-rich regions in a genome?,bmc bioinformatics,IRG-73-001-31,22,CpG islands or CpG clusters: how to identify functional GC-rich regions in a genome?
articles.A-B,BMC_Bioinformatics,BMC_Bioinformatics_2006_Mar_20_7_163.nxml,PPSP: prediction of PK-specific phosphorylation site with Bayesian decision theory,bmc bioinformatics,RPG-99-173-01,123,PPSP: prediction of PK-specific phosphorylation site with Bayesian decision theory
articles.A-B,BMC_Bioinformatics,BMC_Bioinformatics_2008_Aug_12_9(Suppl_9)_S8.nxml,Systems biology approach to identification of biomarkers for metastatic progression in cancer,bmc bioinformatics,RSG-04-219-01-CCE,28,Systems biology approach to identification of biomarkers for metastatic progression in cancer
articles.A-B,BMC_Bioinformatics,BMC_Bioinformatics_2006_Oct_5_7_434.nxml,Rank-statistics based enrichment-site prediction algorithm developed for chromatin immunoprecipitation on chip experiments,bmc bioinformatics,PF-05-048-01-GMC,10,Rank-statistics based enrichment-site prediction algorithm developed for chromatin immunoprecipitation on chip experiments
articles.A-B,ACS_Nano,ACS_Nano_2014_Jan_28_8(1)_104-112.nxml,Gold-Loaded Polymeric Micelles for Computed Tomography-Guided Radiation Therapy Treatment and Radiosensitization,acs nano,IRG-78-002-33,2,Gold-Loaded Polymeric Micelles for Computed Tomography-Guided Radiation Therapy Treatment and Radiosensitization
articles.A-B,BMC_Public_Health,BMC_Public_Health_2004_Dec_15_4_62.nxml,Colorectal cancer screening among African American church members: A qualitative and quantitative study of patient-provider communication,bmc public health,RPG-97-141-01-PBP,77,Colorectal cancer screening among African American church members: A qualitative and quantitative study of patient-provider communication
articles.A-B,BMC_Health_Serv_Res,BMC_Health_Serv_Res_2009_Jun_6_9_92.nxml,External validation of a claims-based algorithm for classifying kidney-cancer surgeries,bmc health services research,PF CPHPS-112124,29,External validation of a claims-based algorithm for classifying kidney-cancer surgeries
articles.A-B,Acta_Crystallogr_D_Biol_Crystallogr,Acta_Crystallogr_D_Biol_Crystallogr_2013_Dec_1_69(Pt_12)_2555-2562.nxml,Structure of human apurinic/apyrimidinic endonuclease 1 with the essential Mg 2+ cofactor Human apurinic/apyrimidinic endonuclease 1,acta crystallographica section d: biological crystallography,RSG-09-058-01-GMC,1,Structure of human apurinic/apyrimidinic endonuclease 1 with the essential Mg 2+ cofactor Human apurinic/apyrimidinic endonuclease 1
articles.A-B,BMC_Cell_Biol,BMC_Cell_Biol_2004_May_16_5_20.nxml,Direct interaction between Smad3  APC10  CDH1 and HEF1 in proteasomal degradation of HEF1,bmc cell biology,RSG-01-184-01-TBE,31,Direct interaction between Smad3  APC10  CDH1 and HEF1 in proteasomal degradation of HEF1
articles.A-B,BMC_Physiol,BMC_Physiol_2004_Jan_16_4_2.nxml,Exercise increases endostatin in circulation of healthy volunteers,bmc physiology,IRG-98-275-01,56,Exercise increases endostatin in circulation of healthy volunteers
articles.A-B,Biol_Open,Biol_Open_2013_Jul_26_2(9)_924-931.nxml,Robust mitotic entry is ensured by a latching switch,biology open,PF-12-129-01-CCG,2,Robust mitotic entry is ensured by a latching switch
articles.A-B,Biol_Open,Biol_Open_2013_Jan_17_2(3)_295-305.nxml,Mitochondrial NDUFS3 regulates the ROS-mediated onset of metabolic switch in transformed cells,biology open,RSG-12-144-01-CCE,4,Mitochondrial NDUFS3 regulates the ROS-mediated onset of metabolic switch in transformed cells
articles.A-B,Biol_Open,Biol_Open_2012_Sep_28_1(12)_1204-1214.nxml,Sequential phosphorylation of GRASP65 during mitotic Golgi disassembly,biology open,RGS-09-278-01-CSM,6,Sequential phosphorylation of GRASP65 during mitotic Golgi disassembly
articles.A-B,Breast_Cancer_Res,Breast_Cancer_Res_2004_Sep_22_6(6)_R636-R639.nxml,The progesterone receptor Val660Leu polymorphism and breast cancer risk,breast cancer research,RSG-00-061-04-CCE,23,The progesterone receptor Val660→Leu polymorphism and breast cancer risk
articles.A-B,Breast_Cancer_Res,Breast_Cancer_Res_2005_Nov_2_7(6)_R1051-R1057.nxml,Allelic imbalances of chromosomes 8p and 18q and their roles in distant relapse of early stage  node-negative breast cancer,breast cancer research,RSG CCE-108980,14,Allelic imbalances of chromosomes 8p and 18q and their roles in distant relapse of early stage  node-negative breast cancer
articles.A-B,Breast_Cancer_Res,Breast_Cancer_Res_2003_Apr_11_5(4)_181-187.nxml,Nuclear localization and function of polypeptide ligands and their receptors: a new paradigm for hormone specificity within the mammary gland?,breast cancer research,RPG-00-307-01-TBE,28,Nuclear localization and function of polypeptide ligands and their receptors: a new paradigm for hormone specificity within the mammary gland?
articles.A-B,Breast_Cancer_Res,Breast_Cancer_Res_2000_Feb_7_2(2)_77-81.nxml,Founder populations and their uses for breast cancer genetics,breast cancer research : bcr,RPG-99-181-01,57,Founder populations and their uses for breast cancer genetics
articles.A-B,Breast_Cancer_Res,Breast_Cancer_Res_2007_Jan_3_9(1)_R1.nxml,SirT1 modulates the estrogeninsulin-like growth factor-1 signaling for postnatal development of mammary gland in mice,breast cancer research,RSG-04-019-01-CNE,45,SirT1 modulates the estrogen–insulin-like growth factor-1 signaling for postnatal development of mammary gland in mice
articles.A-B,Breast_Cancer_Res,Breast_Cancer_Res_2001_Jun_14_3(4)_224-229.nxml,Tumour-stromal interactions: Integrins and cell adhesions as modulators of mammary cell survival and transformation,breast cancer research : bcr,IRG-78-002-23,64,Tumour-stromal interactions: Integrins and cell adhesions as modulators of mammary cell survival and transformation
articles.A-B,Breast_Cancer_Res,Breast_Cancer_Res_2009_May_29_11(3)_206.nxml,Estrogen regulation of apoptosis: how can one hormone stimulate and inhibit?,breast cancer research : bcr,IRG-92-027-14,104,Estrogen regulation of apoptosis: how can one hormone stimulate and inhibit?
articles.A-B,Breast_Cancer_Res,Breast_Cancer_Res_2009_May_22_11(3)_R31.nxml,Epidemiology of breast cancer subtypes in two prospective cohort studies of breast cancer survivors,breast cancer research : bcr,RSG-06-209-01-LR,157,Epidemiology of breast cancer subtypes in two prospective cohort studies of breast cancer survivors
articles.A-B,Breast_Cancer_Res,Breast_Cancer_Res_2007_Jul_20_9(4)_304.nxml,Estrogen regulation of mammary gland development and breast cancer: amphiregulin takes center stage,breast cancer research : bcr,PF-06-252-01-MGO,42,Estrogen regulation of mammary gland development and breast cancer: amphiregulin takes center stage
articles.A-B,Breast_Cancer_Res,Breast_Cancer_Res_2008_Dec_5_10(6)_R104.nxml,Buthionine sulfoximine sensitizes antihormone-resistant human breast cancer cells to estrogen-induced apoptosis,breast cancer research : bcr,IRG-92-027-14-JSLW,40,Buthionine sulfoximine sensitizes antihormone-resistant human breast cancer cells to estrogen-induced apoptosis
articles.A-B,Breast_Cancer_Res,Breast_Cancer_Res_2002_Apr_19_4(3)_113-121.nxml,CCAAT/enhancer binding proteins in normal mammary development and breast cancer,breast cancer research,IRG 58-005-40,80,CCAAT/enhancer binding proteins in normal mammary development and breast cancer
articles.A-B,Breast_Cancer_Res,Breast_Cancer_Res_2007_Nov_26_9(6)_R82.nxml,Identification of BRCA1 missense substitutions that confer partial functional activity: potential moderate risk variants?,breast cancer research : bcr,RSG-04-220-01-CCE,26,Identification of BRCA1 missense substitutions that confer partial functional activity: potential moderate risk variants?
articles.A-B,Breast_Cancer_Res,Breast_Cancer_Res_2008_Nov_5_10(6)_215.nxml,Local control by radiotherapy: is that all there is?,breast cancer research : bcr,RSG-05-145-01-LIB,23,Local control by radiotherapy: is that all there is?
articles.A-B,BMC_Med,BMC_Med_2004_May_4_2_16.nxml,Membrane transport of camptothecin: facilitation by human P-glycoprotein (ABCB1) and multidrug resistance protein 2 (ABCC2),bmc medicine,RPG-98-057-01-CCR,41,Membrane transport of camptothecin: facilitation by human P-glycoprotein (ABCB1) and multidrug resistance protein 2 (ABCC2)
articles.A-B,BMC_Med,BMC_Med_2008_Apr_28_6_11.nxml,Collagen density promotes mammary tumor initiation and progression,bmc medicine,RSG-00-339CSM,275,Collagen density promotes mammary tumor initiation and progression
articles.A-B,Br_J_Haematol,Br_J_Haematol_2008_Oct_143(2)_288-293.nxml,Duffy (Fy)  DARC   and neutropenia among women from the United States  Europe and the Caribbean,british journal of haematology,RSGHP PBP-105710,26,Duffy (Fy)  DARC   and neutropenia among women from the United States  Europe and the Caribbean
articles.A-B,BMC_Biochem,BMC_Biochem_2005_Mar_24_6_5.nxml,A simplified method for analysis of polyunsaturated fatty acids,bmc biochemistry,RSG-03-140-01-CNE,88,A simplified method for analysis of polyunsaturated fatty acids
articles.A-B,BMC_Biochem,BMC_Biochem_2005_Nov_23_6_25.nxml,Characterization of the interactions between the active site of a protein tyrosine kinase and a divalent metal activator,bmc biochemistry,RSG-04-247-01-CDD,8,Characterization of the interactions between the active site of a protein tyrosine kinase and a divalent metal activator
articles.A-B,BMC_Biochem,BMC_Biochem_2004_Jul_26_5_11.nxml,Characterization of yeast histone H3-specific type B histone acetyltransferases identifies an ADA2 -independent Gcn5p activity,bmc biochemistry,RPG-00-340-01-CSM,25,Characterization of yeast histone H3-specific type B histone acetyltransferases identifies an ADA2-independent Gcn5p activity
articles.A-B,BMC_Biochem,BMC_Biochem_2005_May_6_6_8.nxml,Rational polynomial representation of ribonucleotide reductase activity,bmc biochemistry,IRG-91-022-09,4,Rational polynomial representation of ribonucleotide reductase activity
articles.A-B,Biomed_Res_Int,Biomed_Res_Int_2013_Mar_31_2013_826435.nxml,From Notochord Formation to Hereditary Chordoma: The Many Roles of Brachyury,biomed research international,RSG-08-042-01-DDC,5,From Notochord Formation to Hereditary Chordoma: The Many Roles of Brachyury
articles.A-B,ACS_Chem_Biol,ACS_Chem_Biol_2011_Jan_21_6(1)_34-46.nxml,Identification of Direct Protein Targets of Small Molecules,acs chemical biology,RSG-07-035-01-CCG,68,Identification of Direct Protein Targets of Small Molecules
articles.A-B,ACS_Chem_Biol,ACS_Chem_Biol_2013_Mar_15_8(3)_500-505.nxml,d -Amino Acid Chemical Reporters Reveal Peptidoglycan Dynamics of an Intracellular Pathogen,acs chemical biology,PF-10-258-01-MPC,22,d -Amino Acid Chemical Reporters Reveal Peptidoglycan Dynamics of an Intracellular Pathogen
